序号,区域,名称,位置,电话,营业时间,配套设施,室内,室外,场馆照片,,
1,密云,朗茬网球俱乐部(密云城区中心店）,新中街185号,15010353537,周一至周日 06:00-23:30,"有储物柜
无烟环境
有休息区
空调开放
有卫生间","
2个⼤
，
1个⼩
",,,,
2,密云,密云⼀颗⽹球俱乐部,"沙河早市5
号楼304",18310976253,周一至周日 06:00-23:30,,"室内
1个","室外3
个 ",,,
3,平谷,永煜网球俱乐部,世纪隆购物中心步行1.3km,13611228179,周一至周日 09:00-22:00,,"室内
1个",,,,
4,平谷,乐动力桃花运动中心(原平谷体育中心),体育中心西路60号>,先到先得,周一至周日 09:00-21:00,,,"室外1
个 ",,,
5,顺义,马坡网球中心,良白路马卷村南临1号>,17611030809,周一至周日 08:00-22:00,"寄存柜
更衣室
暖气训     练服
球拍","室内
1个","室外3
个 ",,,
6,顺义,DH网球俱乐部,馨园五路与安华街交叉口西南360米,15010168146,周一至周日 06:00-22:00,"有休息区
有卫生间无烟环境
空调开放","室内
3个",,,,
7,顺义,凤凰红土网球场,裕园路762乡,18514753573,周一至周日 06:00-24:00,,,"室外1
个 ",,,
8,顺义,TENNIS 360网球馆,天柱东路甲6号,13520465517,周一至周日 08:00-22:00,"有淋浴间
有卫生间
有储物柜
有休息区
空调开放
无烟环境","室内
5个",,,,
9,顺义,飞凡动力网球俱乐部-天竺店,天竺镇府前二街13号院,16518860110,周一至周日 06:00-22:00,,"室内
2个",,,,
10,顺义,RTG国际网球俱乐部(耀悦室外校区),后沙峪地区左堤路西甲3号(北京耀悦体育馆)>,13141231229,营业中 09:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放","室内
4个",,,,
11,顺义,丽斯花园网球场,空港街道开发街16号丽斯花园别墅南区,18519999750,"周一至周四,周六,周日 08:00-20:00",,,,,,
12,顺义,鹏林网球俱乐部,古城路与古城村西大街交叉口北240米,18301381963,周一至周日 08:00-22:00,"有储物柜
无烟环境
有休息区
空调开放
有卫生间","室内
4个",,,,
13,顺义,态尼斯网球(室内店),15号线后沙峪,13641380454,周一至周日 06:00-23:00,"有储物柜
有卫生间
无烟环境","室内
3个","室外
4个",,,
