序号,城市,区,名称,地址,电话,营业时间,配套设施,室内,室外,硬地,红土,草地
1,北京,密云,朗茬网球俱乐部(密云城区中心店）,新中街185号,15010353537,周一至周日 06:00-23:30,"有储物柜
无烟环境
有休息区
空调开放
有卫生间",3,0,,,
2,北京,密云,密云⼀颗⽹球俱乐部,"沙河早市5
号楼304",18310976253,周一至周日 06:00-23:30,,1,3,,,
3,北京,平谷,永煜网球俱乐部,世纪隆购物中心步行1.3km,13611228179,周一至周日 09:00-22:00,,1,0,,,
4,北京,平谷,乐动力桃花运动中心(原平谷体育中心),体育中心西路60号,先到先得,周一至周日 09:00-21:00,,0,1,,,
5,北京,顺义,马坡网球中心,良白路马卷村南临1号,17611030809,周一至周日 08:00-22:00,"寄存柜
更衣室
暖气
训练服
球拍",1,3,,,
6,北京,顺义,DH网球俱乐部,馨园五路与安华街交叉口西南360米,15010168146,周一至周日 06:00-22:00,"有休息区
有卫生间
无烟环境
空调开放",3,0,,,
7,北京,顺义,凤凰红土网球场,裕园路762乡,18514753573,周一至周日 06:00-24:00,,0,1,,,
8,北京,顺义,TENNIS 360网球馆,天柱东路甲6号,13520465517,周一至周日 08:00-22:00,"有淋浴间
有卫生间
有储物柜
有休息区
空调开放
无烟环境",5,0,,,
9,北京,顺义,飞凡动力网球俱乐部-天竺店,天竺镇府前二街13号院,16518860110,周一至周日 06:00-22:00,,2,0,,,
10,北京,顺义,RTG国际网球俱乐部(耀悦室外校区),后沙峪地区左堤路西甲3号(北京耀悦体育馆)>,13141231229,营业中 09:00-22:00,"有淋浴间
有卫生间
有储物柜
无烟环境
有休息区
空调开放",4,0,,,
11,北京,顺义,丽斯花园网球场,空港街道开发街16号丽斯花园别墅南区,18519999750,"周一至周四,周六,周日 08:00-20:00",,0,1,,,
12,北京,顺义,鹏林网球俱乐部,古城路与古城村西大街交叉口北240米,18301381963,周一至周日 08:00-22:00,"有储物柜
无烟环境
有休息区
空调开放
有卫生间",4,0,,,
13,北京,顺义,态尼斯网球(室内店),15号线后沙峪,13641380454,周一至周日 06:00-23:00,"有储物柜
有卫生间
无烟环境",3,4,,,
14,北京,顺义,北京国测国际会议会展中心网球场,汇海南路与鑫桥南路交叉口西北240米,50907998,周一至周日 09:00-21:00,,4,0,,,
15,北京,顺义,菁苗网球俱乐部(后沙峪校区),铁回路后沙峪开发区南2门,13269237905,周一至周日 08:00-22:00,,2,0,,,
16,北京,怀柔,童牛小镇体育 ,庙城镇焦高路西头,13426246701,周一至周日 08:00-22:00,"有储物柜
无烟环境
有休息区
空调开放
有卫生间",1,0,,,
17,北京,延庆,世园国际匹克球运动中心,北京世园公园国际馆B馆,13693570451,周一至周日 10:00-12:00 14:00-21:30,,2,0,,,
18,北京,延庆,梦起源网球馆,湖南东路16号>,13693570451,"10:00-12:00,14:00-21:30",,2,0,,,
19,北京,门头沟,YY 网球运动中心·网球场地·网球,龙泉地区门头沟城子大街西100米九狮壁(北京)体育文化有限公司>,17611176648,周一至周日 08:00-22:00,,0,3,,,
20,北京,房山,网冠网球馆(房山店),房山线良乡大学城西,15790694312,周一至周日 08:00-22:00,,4,0,,,
21,北京,房山,拱辰街道体育馆,于管营村委会西190米,没接电话,周一至周日 08:00-22:00,,1,0,,,
