name,cover,province_id,city_id,district_id,address,latitude,longitude,contact_number,opening_hours,court_types,is_indoor,facilities,court_qty,base_price,description,rating,enrolling_count,status
朗茬网球俱乐部(密云城区中心店）,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,18,新中街185号,40.365243,116.853818,15010353537,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""23:30""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp""}",3,191,这里不错,0.0,0,0
密云⼀颗⽹球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,18,沙河早市5 号楼304,40.386472,116.856417,18310976253,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""23:30""}]",[0],"[1, 0]",{},4,157,这里不错,0.0,0,0
永煜网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,17,世纪隆购物中心步行1.3km,40.147239,117.115629,13611228179,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""22:00""}]",[0],[1],{},1,108,这里不错,0.0,0,0
乐动力桃花运动中心(原平谷体育中心),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,17,体育中心西路60号,40.149763,117.077206,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""21:00""}]",[0],[0],{},1,124,这里不错,0.0,0,0
马坡网球中心,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,良白路马卷村南临1号,40.174807,116.617187,17611030809,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],"[1, 0]","{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""change"": ""https://static.poptennis.com.cn/court/icon/change.webp"", ""heating"": ""https://static.poptennis.com.cn/court/icon/heating.webp"", ""rent"": ""https://static.poptennis.com.cn/court/icon/rent.webp""}",4,134,这里不错,0.0,0,0
DH网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,馨园五路与安华街交叉口西南360米,40.081227,116.521916,15010168146,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""22:00""}]",[0],[1],"{""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp""}",3,116,这里不错,0.0,0,0
凤凰红土网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,裕园路762乡,40.087061,116.506586,18514753573,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""24:00""}]",[0],[0],{},1,107,这里不错,0.0,0,0
TENNIS 360网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,天柱东路甲6号,40.067366,116.569507,13520465517,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp"", ""shower"": ""https://static.poptennis.com.cn/court/icon/shower.webp""}",5,152,这里不错,0.0,0,0
飞凡动力网球俱乐部-天竺店,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,天竺镇府前二街13号院,40.064657,116.576867,16518860110,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,162,这里不错,0.0,0,0
RTG国际网球俱乐部(耀悦室外校区),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,后沙峪地区左堤路西甲3号(北京耀悦体育馆),40.103855,116.511506,13141231229,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""22:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp"", ""shower"": ""https://static.poptennis.com.cn/court/icon/shower.webp""}",4,178,这里不错,0.0,0,0
丽斯花园网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,空港街道开发街16号丽斯花园别墅南区,40.042812,116.567791,18519999750,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""20:00""}]",[0],[0],{},1,197,这里不错,0.0,0,0
鹏林网球俱乐部,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,古城路与古城村西大街交叉口北240米,40.095183,116.494499,18301381963,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp""}",4,130,这里不错,0.0,0,0
态尼斯网球(室内店),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,15号线后沙峪,40.097225,116.532187,13641380454,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""06:00"", ""end_time"": ""23:00""}]",[0],"[1, 0]","{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp""}",7,185,这里不错,0.0,0,0
北京国测国际会议会展中心网球场,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,汇海南路与鑫桥南路交叉口西北240米,40.04446,116.650395,50907998,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""09:00"", ""end_time"": ""21:00""}]",[0],[1],{},4,134,这里不错,0.0,0,0
菁苗网球俱乐部(后沙峪校区),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,13,铁回路后沙峪开发区南2门,40.108788,116.567588,13269237905,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,162,这里不错,0.0,0,0
童牛小镇体育,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,16,庙城镇焦高路西头,40.275213,116.621637,13426246701,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],"{""store"": ""https://static.poptennis.com.cn/court/icon/store.webp"", ""no_smoking"": ""https://static.poptennis.com.cn/court/icon/no_smoking.webp"", ""lounge"": ""https://static.poptennis.com.cn/court/icon/lounge.webp"", ""ac"": ""https://static.poptennis.com.cn/court/icon/ac.webp"", ""restroom"": ""https://static.poptennis.com.cn/court/icon/restroom.webp""}",1,184,这里不错,0.0,0,0
世园国际匹克球运动中心,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,19,北京世园公园国际馆B馆,40.442322,115.95677,13693570451,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""10:00"", ""end_time"": ""12:00""}]",[0],[1],{},2,141,这里不错,0.0,0,0
梦起源网球馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,19,湖南东路16号,40.451796,115.988858,13693570451,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""10:00"", ""end_time"": ""12:00""}]",[0],[1],{},2,109,这里不错,0.0,0,0
YY 网球运动中心·网球场地·网球,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,9,龙泉地区门头沟城子大街西100米九狮壁(北京)体育文化有限公司,39.947682,116.100612,17611176648,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],{},3,104,这里不错,0.0,0,0
网冠网球馆(房山店),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,11,房山线良乡大学城西,39.723159,116.176541,15790694312,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},4,148,这里不错,0.0,0,0
拱辰街道体育馆,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,11,于管营村委会西190米,39.718727,116.164332,,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},1,174,这里不错,0.0,0,0
得乐网球(西罗园网球场),https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,西罗园路与南三环中路辅路交叉口北220,39.857228,116.394244,18518533633,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[0],{},4,183,这里不错,0.0,0,0
Prime Tennis铂金网球,https://static.poptennis.com.cn/court/1768728941013gl3HCxVWEY.webp,11,1,15,北京市大兴区全季酒店育乐网球大兴荟聚店育乐网球(大兴荟聚店),39.790126,116.327163,18513391826,"[{""weekdays"": [1, 2, 3, 4, 5, 6, 7], ""start_time"": ""08:00"", ""end_time"": ""22:00""}]",[0],[1],{},2,172,这里不错,0.0,0,0
